State,Date,crude_rate
Australian Capital Territory,2019-11-10,24.40
Australian Capital Territory,2019-11-17,31.90
Australian Capital Territory,2019-11-24,34.25
Australian Capital Territory,2019-12-01,27.92
Australian Capital Territory,2020-12-08,30.73
Australian Capital Territory,2019-12-15,29.79
Australian Capital Territory,2019-12-22,23.22
Australian Capital Territory,2019-12-29,21.82
Australian Capital Territory,2020-01-05,32.14
Australian Capital Territory,2020-01-12,26.74
Australian Capital Territory,2020-01-19,27.68
Australian Capital Territory,2020-01-26,27.21
Australian Capital Territory,2020-02-02,22.29
Australian Capital Territory,2020-02-09,24.87
Australian Capital Territory,2020-02-16,27.21
Australian Capital Territory,2020-02-23,24.63
Northern Territory,2019-09-01,80.85
Northern Territory,2019-09-08,70.28
Northern Territory,2019-09-15,77.60
Northern Territory,2019-09-22,71.10
Northern Territory,2019-09-29,72.32
Northern Territory,2019-10-06,60.13
Northern Territory,2019-10-13,55.25
Northern Territory,2019-10-20,54.03
Northern Territory,2019-10-27,49.16
Northern Territory,2019-11-03,58.50
Northern Territory,2019-11-10,62.57
Northern Territory,2019-11-17,56.88
Northern Territory,2019-11-24,67.44
Northern Territory,2019-12-01,75.97
Northern Territory,2020-12-08,70.28
Northern Territory,2019-12-15,78.00
Northern Territory,2019-12-22,68.25
Northern Territory,2019-12-29,62.16
Northern Territory,2020-01-05,62.97
Northern Territory,2020-01-12,49.16
Northern Territory,2020-01-19,57.28
Northern Territory,2020-01-26,70.28
Northern Territory,2020-02-02,56.88
Northern Territory,2020-02-09,66.63
Northern Territory,2020-02-16,58.50
Northern Territory,2020-02-23,52.00
